latitude,longitude,name
50.827635,43.66478,DAUTZENBERG
50.779228,43.64342,HEILIGVERBOND
50.855827,43.58456,ROGIER
50.816172,42.9016,COOVI
50.780738,43.80476,PRINSVANORANJE
50.866116,44.53828,VIADUCTE40
50.816082,42.90149,COOVI
50.787661,43.75822,BRAAMSTRUIKEN
50.801473,43.96939,FUTAIE
50.890678,43.2992,STIENON
50.817163,43.54632,GEORGESBRUGMANN
50.854805,44.45186,THIRY-WOLUWE
50.817442,43.80672,BUYL
50.808086,43.57071,BRUNARD
50.850663,44.54183,AUDITOIRES-UCL
50.830628,43.4421,ST-GILLISVOORPL.
50.807958,43.57175,BRUNARD
50.85069,44.54112,AUDITOIRES-UCL
50.825332,43.3862,COMBAZ
50.811185,43.57628,CAVELL
50.851276,44.51528,CLINIQUES-UCL
50.844731,43.38892,ANDERLECHTSEPOORT
50.794875,43.73693,DIESDELLE
50.859755,43.78841,WIJNHEUVELEN
50.821348,43.34025,LAINE
50.778634,43.73884,NAPOLEON
50.85284,44.52738,UCLSAINT-LUC
50.802945,43.30492,ELZEBOOM
